iter	Passed	Remaining
0	25	25238
1	58	29415
2	86	28896
3	115	28647
4	146	29101
5	174	28966
6	195	27677
7	227	28226
8	258	28517
9	286	28397
10	314	28245
11	342	28186
12	370	28130
13	399	28109
14	431	28350
15	459	28240
16	486	28142
17	510	27823
18	538	27808
19	566	27736
20	601	28047
21	633	28165
22	662	28145
23	691	28115
24	719	28045
25	747	28000
26	776	27966
27	804	27925
28	832	27859
29	860	27835
30	889	27800
31	920	27842
32	952	27910
33	983	27952
34	1028	28349
35	1061	28422
36	1091	28409
37	1121	28387
38	1149	28323
39	1179	28315
40	1225	28669
41	1271	29007
42	1302	28983
43	1332	28957
44	1365	28978
45	1395	28939
46	1425	28911
47	1454	28845
48	1482	28768
49	1509	28687
50	1538	28623
51	1566	28553
52	1589	28401
53	1618	28348
54	1645	28271
55	1673	28206
56	1700	28129
57	1729	28083
58	1759	28055
59	1787	27997
60	1814	27930
61	1843	27896
62	1872	27848
63	1909	27919
64	1946	27997
65	1984	28087
66	2031	28295
67	2066	28325
68	2094	28256
69	2123	28210
70	2151	28154
71	2179	28095
72	2209	28063
73	2237	28004
74	2266	27948
75	2294	27897
76	2322	27840
77	2350	27780
78	2377	27722
79	2406	27675
80	2434	27621
81	2462	27569
82	2491	27523
83	2503	27300
84	2535	27292
85	2553	27137
86	2580	27078
87	2607	27026
88	2635	26976
89	2663	26927
90	2691	26881
91	2719	26844
92	2747	26799
93	2776	26761
94	2805	26727
95	2834	26689
96	2866	26684
97	2893	26632
98	2922	26595
99	2954	26592
100	2987	26592
101	3017	26567
102	3047	26536
103	3080	26540
104	3109	26502
105	3138	26469
106	3193	26651
107	3223	26620
108	3251	26576
109	3280	26538
110	3310	26516
111	3340	26483
112	3379	26528
113	3408	26492
114	3438	26462
115	3467	26423
116	3494	26369
117	3521	26325
118	3549	26280
119	3578	26239
120	3602	26170
121	3633	26148
122	3662	26110
123	3689	26064
124	3718	26026
125	3747	25992
126	3775	25953
127	3803	25911
128	3832	25874
129	3861	25842
130	3903	25896
131	3939	25905
132	3970	25883
133	4000	25853
134	4030	25822
135	4061	25802
136	4090	25765
137	4123	25758
138	4165	25805
139	4198	25788
140	4230	25775
141	4274	25825
142	4320	25893
143	4355	25890
144	4389	25884
145	4421	25862
146	4452	25835
147	4481	25800
148	4511	25766
149	4539	25723
150	4568	25684
151	4610	25723
152	4628	25623
153	4656	25579
154	4685	25541
155	4709	25481
156	4739	25445
157	4764	25392
158	4794	25357
159	4826	25340
160	4855	25305
161	4886	25277
162	4916	25247
163	4948	25226
164	4979	25200
165	5011	25179
166	5043	25158
167	5077	25143
168	5105	25105
169	5135	25071
170	5164	25036
171	5193	25003
172	5222	24963
173	5250	24925
174	5280	24894
175	5335	24980
176	5366	24951
177	5390	24892
178	5424	24880
179	5454	24850
180	5485	24821
181	5498	24712
182	5526	24673
183	5554	24634
184	5584	24599
185	5613	24566
186	5641	24526
187	5672	24499
188	5704	24476
189	5735	24450
190	5767	24429
191	5797	24396
192	5830	24380
193	5862	24357
194	5892	24326
195	5925	24306
196	5956	24278
197	5987	24252
198	6036	24298
199	6072	24288
200	6116	24312
201	6149	24294
202	6199	24338
203	6232	24317
204	6265	24298
205	6298	24277
206	6334	24265
207	6367	24244
208	6411	24264
209	6443	24240
210	6475	24214
211	6507	24186
212	6539	24161
213	6573	24142
214	6609	24130
215	6640	24103
216	6669	24065
217	6698	24028
218	6728	23994
219	6756	23954
220	6787	23923
221	6816	23887
222	6846	23854
223	6879	23831
224	6912	23808
225	6945	23787
226	6977	23761
227	7014	23750
228	7047	23728
229	7079	23701
230	7113	23679
231	7164	23717
232	7198	23696
233	7235	23687
234	7271	23671
235	7305	23648
236	7337	23622
237	7374	23610
238	7425	23645
239	7490	23719
240	7522	23692
241	7557	23673
242	7592	23653
243	7626	23630
244	7659	23603
245	7690	23571
246	7722	23541
247	7755	23516
248	7791	23499
249	7828	23485
250	7865	23472
251	7902	23456
252	7935	23430
253	7970	23408
254	8003	23382
255	8037	23358
256	8072	23337
257	8108	23318
258	8143	23299
259	8183	23290
260	8238	23326
261	8272	23301
262	8302	23267
263	8336	23240
264	8371	23220
265	8409	23205
266	8444	23182
267	8476	23151
268	8511	23129
269	8545	23104
270	8578	23075
271	8615	23058
272	8654	23046
273	8691	23029
274	8734	23026
275	8771	23009
276	8809	22993
277	8852	22989
278	8895	22988
279	8962	23045
280	9005	23042
281	9050	23043
282	9086	23020
283	9118	22989
284	9154	22967
285	9185	22931
286	9216	22897
287	9247	22862
288	9276	22822
289	9307	22786
290	9338	22752
291	9370	22719
292	9401	22685
293	9432	22651
294	9464	22618
295	9495	22583
296	9530	22557
297	9561	22524
298	9592	22490
299	9649	22514
300	9689	22501
301	9720	22467
302	9752	22433
303	9784	22401
304	9815	22366
305	9845	22330
306	9875	22291
307	9904	22253
308	9938	22224
309	9967	22186
310	9998	22151
311	10030	22119
312	10063	22087
313	10090	22045
314	10119	22006
315	10148	21966
316	10177	21927
317	10206	21889
318	10237	21854
319	10266	21816
320	10302	21792
321	10331	21754
322	10361	21717
323	10389	21677
324	10418	21638
